u_no	u_id	u_pw	u_name	u_phone	u_age	u_10percent	u_30percent
1	Rlsmd1	Qwer1	장지용	010-2323-4434	2002-01-14	2	1
2	Rlsmd2	Qwer2	다니엘	010-5834-6231	2002-08-27	1	0
3	Rlsmd3	Qwer3	안지훈	010-2142-3245	2001-05-23	1	0
4	Rlsmd4	Qwer4	한정현	010-2314-2353	2001-11-22	1	1
5	Rlsmd5	Qwer5	김도현	010-2453-4564	2001-02-15	1	0
6	Rlsmd6	Qwer6	오관석	010-4645-1235	1988-06-17	0	0
7	Rlsmd7	Qwer7	고요한	010-9374-9824	1976-07-17	2	2
8	Rlsmd8	Qwer8	정현도	010-3967-4846	1987-10-22	1	1
9	Rlsmd9	Qwer9	강지수	010-2934-3485	1999-12-18	0	0
10	Rlsmd10	Qwer10	김진영	010-3435-8354	1986-02-25	0	0
11	Rlsmd11	Qwer11	김정은	010-8574-3622	2005-07-14	1	0
12	Rlsmd12	Qwer12	신익현	010-3843-9347	2012-09-26	1	1
13	Rlsmd13	Qwer13	최재현	010-9385-8375	2007-08-16	1	1
14	Rlsmd14	Qwer14	박성주	010-7532-3246	1995-08-26	1	0
15	Rlsmd15	Qwer15	박기범	010-1239-0349	2001-01-22	1	1
16	Rlsmd16	Qwer16	이은헤	010-0127-5612	1977-11-23	1	0
17	Rlsmd17	Qwer17	김동현	010-8271-4920	1986-12-31	1	0
18	Rlsmd18	Qwer18	안승언	010-0023-3843	1994-02-11	1	0
19	Rlsmd19	Qwer19	손흥민	010-5832-4859	2002-05-16	1	0
20	Rlsmd20	Qwer20	로버트	010-2934-6483	1992-06-27	1	1
21	Rlsmd21	Qwer21	김성현	010-0239-2104	1988-07-23	1	0
22	Rlsmd22	Qwer22	변정민	010-5839-1924	1972-10-21	1	0
23	Rlsmd23	Qwer23	손승헌	010-5935-9182	1987-01-15	0	0
24	Rlsmd24	Qwer24	정승환	010-0593-8465	1986-09-17	0	0
25	Rlsmd25	Qwer25	한순정	010-5034-3259	2003-03-27	1	0
26	Rlsmd26	Qwer26	장태영	010-3294-5693	1994-06-23	1	0
27	Rlsmd27	Qwer27	장동환	010-3010-4862	1984-08-21	1	1
28	Rlsmd28	Qwer28	아이유	010-2359-9633	1987-12-16	0	0
29	Rlsmd29	Qwer29	유승환	010-2359-9633	1987-12-16	0	0
30	Rlsmd30	Qwer30	조용문	010-2359-9633	1987-12-16	1	1
